plotID,farmerName,treeType,numCuerdas,yearPlanted,ageOfTrees,productionProportion
0,Ing. Fernando Briseño,borbon,6,2001,19,0.9627473192722773
1,Mariano Silvia Nevárez,catuai,5,2009,11,0.7783940948209823
2,Hermelinda Lemus Barragán,catuai,2,2015,5,0.9131739348476706
3,Felipe Rendón Tijerina,borbon,8,2002,18,0.9090453318435836
4,Débora Jesús Sanabria,borbon,4,1991,29,0.7336267891008826
5,Aurora Lemus Olivera,catuai,10,2014,6,0.8092261079570819
6,Débora Jesús Sanabria,borbon,10,2017,3,0.8842465205762315
7,Sr(a). Cornelio Sosa,borbon,8,1992,28,0.7199386438895164
8,Juan Bahena Medrano,borbon,0,2005,15,0.8681742664530648
9,Natalia Delia Saavedra Camacho,borbon,10,2000,20,0.9382035933205041
10,Diana Jonás Cortez,catuai,4,2017,3,0.8761284060941524
11,Lic. Jaime Padrón,borbon,6,2020,0,0.7536597515249436
12,Sr(a). Rubén Ureña,borbon,5,2012,8,0.935928565812054
13,Lic. Eugenio Leiva,borbon,10,1999,21,0.7851445211717948
14,Virginia Pablo Fernández Pantoja,catuai,8,2014,6,0.7643385973946649
15,Caridad Posada,borbon,4,2020,0,0.8672200823735969
16,José María Dulce Reséndez,catuai,3,2015,5,0.9816988411941232
17,Virginia Pablo Fernández Pantoja,borbon,9,2006,14,0.7853594145517112
18,Sr(a). Rubén Ureña,catuai,10,2016,4,0.7596956777851585
19,Óliver Adame,catuai,7,2009,11,0.7050007998677534
20,Ing. Fernando Briseño,borbon,9,2001,19,0.8782044748174359
21,Aurora Lemus Olivera,catuai,5,2016,4,0.9987712241602436
22,Ing. Maximiliano Cervántez,borbon,4,2016,4,0.8025079223203776
23,Lic. Jaime Padrón,catuai,6,2008,12,0.7931045802941804
24,Héctor Alemán,catuai,0,2020,0,0.7374644294131237
25,Caridad Posada,borbon,10,2020,0,0.8675477358770514
26,Felipe Rendón Tijerina,catuai,7,2011,9,0.7276951212628155
27,Lic. Jaime Padrón,borbon,3,2010,10,0.9601153513844316
28,Marisela Felipe Arredondo Lozada,catuai,8,2010,10,0.9806163574164706
